arm,layer,layer_name,format_a,format_b,control_type,n_concepts,matched_score,matched_ci_low,matched_ci_high,control_score,control_ci_low,control_ci_high,paired_delta,ci_low,ci_high,p_perm_greater,retrieval_top1,retrieval_top5,retrieval_margin
base,0,embedding,pairwise,feature_listing,lexical,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,pairwise,feature_listing,category_proxy,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,__mean__,__mean__,random,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,__mean__,__mean__,close_neighbor,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,__mean__,__mean__,far_neighbor,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,__mean__,__mean__,lexical,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,0,embedding,__mean__,__mean__,category_proxy,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,0.0,0.0,1.0,0.0078125,0.0390625,0.0
base,1,layer_1,triplet,pairwise,random,128,0.9511394924484193,0.950683686719276,0.9516200156533159,0.9501048908568919,0.9497902291826904,0.950377930351533,0.001034601591527462,0.0006470423541031778,0.001394424948375672,0.000999000999000999,0.015625,0.140625,-0.0047533775214105844
base,1,layer_1,triplet,pairwise,close_neighbor,128,0.9511394924484193,0.9507362533127889,0.9515736279310658,0.9509446392767131,0.9504802805487997,0.9513759147608652,0.00019485317170619965,-3.0547566711902616e-05,0.00043074972927570343,0.04095904095904096,0.015625,0.140625,-0.0047533775214105844
base,1,layer_1,triplet,pairwise,far_neighbor,128,0.9511394924484193,0.9507176985265687,0.9515980519470759,0.9506313046440482,0.950296934938524,0.9509601050755009,0.0005081878043711185,0.00023979173274710775,0.0007788285613059994,0.000999000999000999,0.015625,0.140625,-0.0047533775214105844
