subject,arm,layer,layer_name,alpha,cv_mean_r,fold_scores
UTS03,scrambled,24,layer_24,599.4842503189409,0.005538587691262364,"[0.004045269917696714, 0.007031905464828014]"
UTS03,scrambled,24,layer_24,1000.0,0.005446007591672242,"[0.0037993828300386667, 0.007092632353305817]"
UTS03,scrambled,32,layer_32,10.0,0.009172765305265784,"[0.011493087746202946, 0.006852442864328623]"
UTS03,scrambled,32,layer_32,16.68100537200059,0.00971452658995986,"[0.012129169888794422, 0.0072998832911252975]"
UTS03,scrambled,32,layer_32,27.825594022071243,0.009946990059688687,"[0.0123200798407197, 0.007573900278657675]"
UTS03,scrambled,32,layer_32,46.41588833612777,0.010018789442256093,"[0.012282817624509335, 0.0077547612600028515]"
UTS03,scrambled,32,layer_32,77.4263682681127,0.010041772853583097,"[0.012182008475065231, 0.007901537232100964]"
UTS03,scrambled,32,layer_32,129.1549665014884,0.010066315531730652,"[0.01207712385803461, 0.008055507205426693]"
UTS03,scrambled,32,layer_32,215.44346900318823,0.010110699571669102,"[0.011971564963459969, 0.008249834179878235]"
UTS03,scrambled,32,layer_32,359.38136638046257,0.010179770179092884,"[0.011846112087368965, 0.008513428270816803]"
UTS03,scrambled,32,layer_32,599.4842503189409,0.010268508456647396,"[0.011669738218188286, 0.008867278695106506]"
UTS03,scrambled,32,layer_32,1000.0,0.010359596461057663,"[0.01140521839261055, 0.009313974529504776]"
UTS03,taskvec_a0p25,16,layer_16,10.0,0.004891324904747307,"[0.0033300251234322786, 0.006452624686062336]"
UTS03,taskvec_a0p25,16,layer_16,16.68100537200059,0.006444175960496068,"[0.00391694949939847, 0.008971402421593666]"
UTS03,taskvec_a0p25,16,layer_16,27.825594022071243,0.007676643552258611,"[0.004478333052247763, 0.010874954052269459]"
UTS03,taskvec_a0p25,16,layer_16,46.41588833612777,0.008542489958927035,"[0.0049347360618412495, 0.012150243856012821]"
UTS03,taskvec_a0p25,16,layer_16,77.4263682681127,0.009114119224250317,"[0.005265422165393829, 0.012962816283106804]"
UTS03,taskvec_a0p25,16,layer_16,129.1549665014884,0.009503658162429929,"[0.005515285301953554, 0.013492031022906303]"
UTS03,taskvec_a0p25,16,layer_16,215.44346900318823,0.00980817130766809,"[0.0057461136020720005, 0.01387022901326418]"
UTS03,taskvec_a0p25,16,layer_16,359.38136638046257,0.010098097380250692,"[0.006012633442878723, 0.014183561317622662]"
UTS03,taskvec_a0p25,16,layer_16,599.4842503189409,0.01042059506289661,"[0.0063600786961615086, 0.01448111142963171]"
UTS03,taskvec_a0p25,16,layer_16,1000.0,0.010798534378409386,"[0.00682102981954813, 0.014776038937270641]"
UTS03,taskvec_a0p25,24,layer_24,10.0,-0.0016307279001921415,"[0.002715990412980318, -0.005977446213364601]"
UTS03,taskvec_a0p25,24,layer_24,16.68100537200059,0.0007608969463035464,"[0.003907740581780672, -0.002385946689173579]"
UTS03,taskvec_a0p25,24,layer_24,27.825594022071243,0.002726070291828364,"[0.004918992519378662, 0.0005331480642780662]"
