arm,concept_index,concept,mid_layer_start,mid_layer_end,top1_count,top1_share,top5_count,top5_share,csls_top1_count,csls_top1_share,csls_top5_count,csls_top5_share
scrambled,2,airplane,10,20,112,0.013257575757575758,182,0.004308712121212121,151,0.017874053030303032,242,0.005729166666666666
scrambled,36,blender,10,20,111,0.013139204545454546,456,0.010795454545454546,126,0.014914772727272728,458,0.01084280303030303
scrambled,8,apple,10,20,103,0.012192234848484848,439,0.010392992424242424,100,0.011837121212121212,384,0.00909090909090909
scrambled,48,bucket,10,20,100,0.011837121212121212,622,0.014725378787878787,89,0.010535037878787878,590,0.01396780303030303
scrambled,22,bazooka,10,20,92,0.010890151515151516,956,0.022632575757575758,93,0.011008522727272728,734,0.01737689393939394
scrambled,123,sled,10,20,90,0.01065340909090909,945,0.022372159090909092,66,0.0078125,822,0.01946022727272727
scrambled,70,cello,10,20,86,0.010179924242424242,518,0.012263257575757575,37,0.004379734848484848,423,0.010014204545454545
scrambled,97,eggbeater,10,20,85,0.01006155303030303,474,0.011221590909090908,60,0.007102272727272727,355,0.00840435606060606
scrambled,83,corkscrew,10,20,82,0.009706439393939394,861,0.020383522727272726,102,0.012073863636363636,758,0.017945075757575757
scrambled,9,artichoke,10,20,62,0.007339015151515152,301,0.00712594696969697,54,0.006392045454545455,236,0.0055871212121212125
scrambled,15,bamboo,10,20,62,0.007339015151515152,404,0.009564393939393939,47,0.00556344696969697,376,0.008901515151515152
scrambled,10,asparagus,10,20,61,0.007220643939393939,254,0.0060132575757575754,85,0.01006155303030303,284,0.006723484848484848
scrambled,13,bagel,10,20,56,0.006628787878787879,725,0.017163825757575756,46,0.005445075757575758,493,0.011671401515151515
scrambled,74,chicken,10,20,53,0.006273674242424242,236,0.0055871212121212125,65,0.007694128787878788,265,0.006273674242424242
scrambled,66,cat,10,20,51,0.006036931818181818,287,0.006794507575757576,75,0.00887784090909091,311,0.007362689393939394
scrambled,81,cockroach,10,20,51,0.006036931818181818,239,0.005658143939393939,67,0.007930871212121212,274,0.006486742424242424
scrambled,71,cheese,10,20,50,0.005918560606060606,265,0.006273674242424242,40,0.004734848484848485,261,0.006178977272727273
scrambled,52,butterfly,10,20,49,0.005800189393939394,357,0.008451704545454545,60,0.007102272727272727,336,0.007954545454545454
scrambled,33,bird,10,20,48,0.005681818181818182,206,0.00487689393939394,73,0.008641098484848484,256,0.006060606060606061
scrambled,24,bear,10,20,47,0.00556344696969697,246,0.005823863636363637,46,0.005445075757575758,230,0.005445075757575758
scrambled,45,broccoli,10,20,44,0.005208333333333333,283,0.006699810606060606,58,0.006865530303030303,327,0.007741477272727273
scrambled,114,owl,10,20,43,0.005089962121212121,423,0.010014204545454545,64,0.007575757575757576,422,0.009990530303030303
scrambled,37,blouse,10,20,42,0.004971590909090909,173,0.00409564393939394,72,0.008522727272727272,289,0.00684185606060606
scrambled,59,candle,10,20,39,0.004616477272727273,332,0.007859848484848485,55,0.006510416666666667,343,0.008120265151515151
scrambled,64,carrot,10,20,39,0.004616477272727273,281,0.0066524621212121215,36,0.004261363636363636,285,0.006747159090909091
scrambled,67,caterpillar,10,20,39,0.004616477272727273,555,0.013139204545454546,66,0.0078125,465,0.011008522727272728
scrambled,99,fig,10,20,39,0.004616477272727273,557,0.013186553030303031,50,0.005918560606060606,542,0.012831439393939393
scrambled,122,skateboard,10,20,39,0.004616477272727273,111,0.002627840909090909,43,0.005089962121212121,241,0.0057054924242424246
scrambled,27,bee,10,20,38,0.004498106060606061,570,0.013494318181818182,76,0.008996212121212122,639,0.015127840909090908
scrambled,78,chocolate,10,20,38,0.004498106060606061,157,0.0037168560606060607,59,0.006983901515151515,202,0.004782196969696969
scrambled,115,pants,10,20,38,0.004498106060606061,180,0.004261363636363636,66,0.0078125,282,0.006676136363636363
scrambled,35,blackberry,10,20,36,0.004261363636363636,217,0.005137310606060606,59,0.006983901515151515,300,0.007102272727272727
scrambled,50,burrito,10,20,36,0.004261363636363636,172,0.004071969696969697,32,0.003787878787878788,156,0.003693181818181818
scrambled,121,scooter,10,20,36,0.004261363636363636,153,0.003622159090909091,64,0.007575757575757576,268,0.00634469696969697
scrambled,25,beaver,10,20,35,0.004142992424242424,218,0.005160984848484849,34,0.004024621212121212,304,0.007196969696969697
scrambled,63,carriage,10,20,35,0.004142992424242424,182,0.004308712121212121,38,0.004498106060606061,218,0.005160984848484849
scrambled,86,cranberry,10,20,35,0.004142992424242424,237,0.005610795454545454,48,0.005681818181818182,303,0.007173295454545455
scrambled,105,grasshopper,10,20,35,0.004142992424242424,280,0.006628787878787879,48,0.005681818181818182,303,0.007173295454545455
scrambled,14,bagpipe,10,20,34,0.004024621212121212,239,0.005658143939393939,42,0.004971590909090909,220,0.005208333333333333
scrambled,84,corn,10,20,34,0.004024621212121212,320,0.007575757575757576,44,0.005208333333333333,319,0.007552083333333333
scrambled,112,motorcycle,10,20,34,0.004024621212121212,131,0.0031013257575757576,64,0.007575757575757576,271,0.006415719696969697
scrambled,0,accordion,10,20,33,0.00390625,362,0.008570075757575757,39,0.004616477272727273,294,0.0069602272727272724
scrambled,109,jeans,10,20,32,0.003787878787878788,269,0.006368371212121212,58,0.006865530303030303,368,0.008712121212121213
scrambled,124,slingshot,10,20,32,0.003787878787878788,158,0.003740530303030303,38,0.004498106060606061,190,0.004498106060606061
scrambled,95,eagle,10,20,31,0.003669507575757576,685,0.01621685606060606,56,0.006628787878787879,625,0.014796401515151516
scrambled,39,blueberry,10,20,29,0.0034327651515151515,144,0.003409090909090909,33,0.00390625,173,0.00409564393939394
scrambled,88,crowbar,10,20,29,0.0034327651515151515,390,0.009232954545454546,27,0.0031960227272727275,307,0.007267992424242424
scrambled,113,ostrich,10,20,28,0.0033143939393939395,841,0.019910037878787878,57,0.006747159090909091,694,0.016429924242424242
scrambled,55,cake,10,20,27,0.0031960227272727275,107,0.0025331439393939392,43,0.005089962121212121,160,0.003787878787878788
scrambled,18,barrel,10,20,26,0.003077651515151515,195,0.004616477272727273,15,0.0017755681818181818,210,0.004971590909090909
scrambled,38,blowtorch,10,20,25,0.002959280303030303,56,0.0013257575757575758,48,0.005681818181818182,114,0.0026988636363636364
scrambled,17,banjo,10,20,24,0.002840909090909091,181,0.004285037878787879,24,0.002840909090909091,192,0.004545454545454545
scrambled,57,can opener,10,20,24,0.002840909090909091,91,0.0021543560606060606,32,0.003787878787878788,138,0.0032670454545454543
scrambled,90,dragonfly,10,20,24,0.002840909090909091,80,0.001893939393939394,44,0.005208333333333333,174,0.0041193181818181815
scrambled,7,anvil,10,20,23,0.002722537878787879,224,0.005303030303030303,41,0.004853219696969697,213,0.005042613636363637
scrambled,106,grenade,10,20,23,0.002722537878787879,80,0.001893939393939394,25,0.002959280303030303,127,0.0030066287878787877
scrambled,110,jeep,10,20,23,0.002722537878787879,145,0.0034327651515151515,48,0.005681818181818182,221,0.005232007575757576
scrambled,28,beet,10,20,22,0.0026041666666666665,202,0.004782196969696969,26,0.003077651515151515,196,0.0046401515151515155
scrambled,42,bottle,10,20,22,0.0026041666666666665,598,0.014157196969696969,24,0.002840909090909091,478,0.011316287878787879
scrambled,60,candy,10,20,22,0.0026041666666666665,52,0.001231060606060606,35,0.004142992424242424,117,0.0027698863636363637
scrambled,82,coconut,10,20,22,0.0026041666666666665,105,0.0024857954545454545,39,0.004616477272727273,148,0.003503787878787879
scrambled,116,parrot,10,20,22,0.0026041666666666665,309,0.007315340909090909,31,0.003669507575757576,308,0.007291666666666667
scrambled,41,boar,10,20,21,0.0024857954545454545,242,0.005729166666666666,31,0.003669507575757576,208,0.004924242424242424
scrambled,51,bus,10,20,21,0.0024857954545454545,86,0.0020359848484848486,24,0.002840909090909091,109,0.0025804924242424244
scrambled,77,chisel,10,20,21,0.0024857954545454545,117,0.0027698863636363637,25,0.002959280303030303,139,0.003290719696969697
scrambled,101,flute,10,20,21,0.0024857954545454545,330,0.0078125,39,0.004616477272727273,330,0.0078125
