subject,region,n_concepts,n_voxels,arm,layer,layer_name,rsa_spearman,selection
02,TE2a,90,846,lowLR,22,layer_22,-0.008166275059194109,best_mean_subjects
02,TE2a,90,846,lowrank,22,layer_22,-0.007254553296725994,best_mean_subjects
02,TE2a,90,846,taskvec_a0p25,25,layer_25,-0.0006567485293216921,best_mean_subjects
02,TE2a,90,846,taskvec_a0p5,25,layer_25,-0.0003246395994352711,best_mean_subjects
02,TE2a,90,846,taskvec_a1p0,24,layer_24,-0.008404168732215988,best_mean_subjects
02,TE2p,90,507,base,30,layer_30,0.16723852847644688,best_mean_subjects
02,TE2p,90,507,scrambled,28,layer_28,0.07726689551256072,best_mean_subjects
02,TE2p,90,507,lowLR,30,layer_30,0.1688395854175275,best_mean_subjects
02,TE2p,90,507,lowrank,30,layer_30,0.1777069828363674,best_mean_subjects
02,TE2p,90,507,taskvec_a0p25,6,layer_6,0.1442894737391195,best_mean_subjects
02,TE2p,90,507,taskvec_a0p5,6,layer_6,0.1444831906543833,best_mean_subjects
02,TE2p,90,507,taskvec_a1p0,6,layer_6,0.13402076223181644,best_mean_subjects
02,TF,90,848,base,30,layer_30,0.09000056209579005,best_mean_subjects
02,TF,90,848,scrambled,6,layer_6,0.07857768604569751,best_mean_subjects
02,TF,90,848,lowLR,30,layer_30,0.10089684549231184,best_mean_subjects
02,TF,90,848,lowrank,30,layer_30,0.10670558795674494,best_mean_subjects
02,TF,90,848,taskvec_a0p25,30,layer_30,0.09565882854152698,best_mean_subjects
02,TF,90,848,taskvec_a0p5,6,layer_6,0.10811563338727649,best_mean_subjects
02,TF,90,848,taskvec_a1p0,6,layer_6,0.10462328765491999,best_mean_subjects
02,PeEc,90,934,base,31,layer_31,0.06571599645359792,best_mean_subjects
02,PeEc,90,934,scrambled,1,layer_1,0.038885818323964476,best_mean_subjects
02,PeEc,90,934,lowLR,31,layer_31,0.060203941973983544,best_mean_subjects
02,PeEc,90,934,lowrank,12,layer_12,0.06096663652801357,best_mean_subjects
02,PeEc,90,934,taskvec_a0p25,31,layer_31,0.06151322971205508,best_mean_subjects
02,PeEc,90,934,taskvec_a0p5,3,layer_3,0.05919860831426068,best_mean_subjects
02,PeEc,90,934,taskvec_a1p0,3,layer_3,0.052660611428078215,best_mean_subjects
02,EC,90,407,base,30,layer_30,0.002316937327343067,best_mean_subjects
02,EC,90,407,scrambled,2,layer_2,0.008533828470776982,best_mean_subjects
02,EC,90,407,lowLR,17,layer_17,0.0007860204739043785,best_mean_subjects
02,EC,90,407,lowrank,30,layer_30,0.0044507878896745045,best_mean_subjects
02,EC,90,407,taskvec_a0p25,30,layer_30,0.004424495607384196,best_mean_subjects
02,EC,90,407,taskvec_a0p5,30,layer_30,0.002294494778241069,best_mean_subjects
02,EC,90,407,taskvec_a1p0,2,layer_2,0.0006200586610870063,best_mean_subjects
03,Early Visual,90,5942,base,30,layer_30,0.05349839735452329,best_mean_subjects
03,Early Visual,90,5942,scrambled,6,layer_6,0.011030573873388305,best_mean_subjects
03,Early Visual,90,5942,lowLR,30,layer_30,0.04970178148051787,best_mean_subjects
03,Early Visual,90,5942,lowrank,7,layer_7,0.04495516151739682,best_mean_subjects
03,Early Visual,90,5942,taskvec_a0p25,30,layer_30,0.04473500381492326,best_mean_subjects
03,Early Visual,90,5942,taskvec_a0p5,7,layer_7,0.03870579486986338,best_mean_subjects
