analysis,target,hub_metric,n,spearman_r,spearman_p,pearson_r,pearson_p,region
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.3995936119542857,5.378146722901022e-10,0.23897781029112958,0.00030724164603850436,TGv
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.3424720354051609,1.465787054747333e-07,0.2626478713016362,6.919304426802832e-05,TGv
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.38280162289130903,3.134395990074372e-09,0.32765791721840826,5.285545917977347e-07,TGv
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,-0.25994900035265717,0.00027133151575863576,-0.29521344864063814,3.225773489665436e-05,TGv
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,-0.2530094539239889,0.0003990771527071308,-0.2707023132275279,0.0001460926076110104,TGv
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,0.057850178244730606,0.4254342255705711,-0.04525897358447761,0.5330538051570868,TGv
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,-0.04000832482602664,0.5816527087034091,-0.09224634379958804,0.2031702123644673,TGv
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,0.33392053007080275,2.2090277321252145e-06,0.2869323727023305,5.458700562038242e-05,TGv
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,0.15680119581464877,0.01886440603983975,0.19237483323652466,0.0038507186886625813,Ventral Visual
arm_layer_raw,rsa_spearman_mean,linear_cka,224,0.37405936365577624,7.54959662296363e-09,0.42390011665027505,3.4998488968164315e-11,Ventral Visual
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.12990081084216515,0.05219349411651118,0.15812435958247162,0.01787163781049099,Ventral Visual
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.2897015699460718,1.0507382655922148e-05,0.30549502665425354,3.1852217495130335e-06,Ventral Visual
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,-0.16215460175101432,0.015122579686725595,-0.08566296066101511,0.20150978159928828,Ventral Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.4014408078561159,7.889949965617262e-09,0.49361223500619367,3.4701342317482104e-13,Ventral Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.2008348479505195,0.005219037218218119,0.2836965884392884,6.67493453376689e-05,Ventral Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.18223920949247147,0.011409085055114643,-0.046406756531538765,0.5227081991943232,Ventral Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,-0.021959902663334196,0.7623968382426849,0.060781873633939124,0.40231532103983253,Ventral Visual
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,-0.39577286167702036,1.3321002752159066e-08,-0.2853976986768434,6.006954882155553e-05,Ventral Visual
