region,arm,model,mean_mid_test_pearson_r,mean_mid_test_spearman_r,mean_mid_test_r2_vs_train_mean,n_subjects,n_layers,n_rows
Ventral Visual,taskvec_a0p25,single_feature_listing,0.17019810821542702,0.17888238115023072,0.029842310919735077,3,11,33
Ventral Visual,taskvec_a0p25,single_pairwise,0.14731054159909845,0.1539362916744408,0.0227815115606908,3,11,33
Ventral Visual,taskvec_a0p25,single_triplet,0.1347254532276711,0.14587108995034045,0.018349006350743356,3,11,33
Ventral Visual,taskvec_a0p5,all_single_formats,0.17125197335770706,0.17985404214588654,0.02996824102231058,3,11,33
Ventral Visual,taskvec_a0p5,mean_rdm,0.1559038928488713,0.16897851521915028,0.025307758883181986,3,11,33
Ventral Visual,taskvec_a0p5,mean_repr,0.17071850585668696,0.17650097571406737,0.030312512631862146,3,11,33
Ventral Visual,taskvec_a0p5,mean_repr_plus_single_formats,0.1736913559144565,0.18028229587652586,0.03065756098984232,3,11,33
Ventral Visual,taskvec_a0p5,single_feature_listing,0.1693295468251937,0.17892124109214638,0.029880932277699435,3,11,33
Ventral Visual,taskvec_a0p5,single_pairwise,0.13273832847896885,0.14885621788189413,0.019208535441702482,3,11,33
Ventral Visual,taskvec_a0p5,single_triplet,0.14202768154260484,0.15173961046439438,0.020356950778648186,3,11,33
Ventral Visual,taskvec_a1p0,all_single_formats,0.14377261667286031,0.15189341519531024,0.020255004856157235,3,11,33
Ventral Visual,taskvec_a1p0,mean_rdm,0.1264035973986686,0.14054199835555753,0.01623945308337008,3,11,33
Ventral Visual,taskvec_a1p0,mean_repr,0.14123767824096237,0.15152831546972434,0.02087444314317177,3,11,33
Ventral Visual,taskvec_a1p0,mean_repr_plus_single_formats,0.1489567726102242,0.15582420841905195,0.021677522615847003,3,11,33
Ventral Visual,taskvec_a1p0,single_feature_listing,0.08507113306550419,0.12547515341546545,0.006245206712263998,3,11,33
Ventral Visual,taskvec_a1p0,single_pairwise,0.07991323449282985,0.11332310870860615,0.00960013061838759,3,11,33
Ventral Visual,taskvec_a1p0,single_triplet,0.13952645309669753,0.1465255684374196,0.01906063324893623,3,11,33
