region,arm,layer,layer_name,model,mean_test_pearson_r,mean_test_spearman_r,mean_test_r2_vs_train_mean,n_subjects,n_test_pairs
Ventral Visual,lowrank,27,layer_27,mean_repr,0.16308733232777714,0.17205652509660788,0.026284141124151155,3,765
Ventral Visual,lowrank,27,layer_27,mean_repr_plus_single_formats,0.17381553490029525,0.18240493177116737,0.029003233345843427,3,765
Ventral Visual,lowrank,27,layer_27,single_feature_listing,0.17495641650120664,0.18375018282480562,0.03057290633615717,3,765
Ventral Visual,lowrank,27,layer_27,single_pairwise,0.0460077712312005,0.1033370295885363,0.000988107752262768,3,765
Ventral Visual,lowrank,27,layer_27,single_triplet,0.0995205690459164,0.10213271334169437,0.0074123762480763355,3,765
Ventral Visual,lowrank,28,layer_28,all_single_formats,0.1638144230506621,0.17553221116204742,0.024951951448616172,3,765
Ventral Visual,lowrank,28,layer_28,mean_rdm,0.1396449336543012,0.1454635905460567,0.018458344617544364,3,765
Ventral Visual,lowrank,28,layer_28,mean_repr,0.15304001618800508,0.16085292272646576,0.022633347320981212,3,765
Ventral Visual,lowrank,28,layer_28,mean_repr_plus_single_formats,0.16546731542434853,0.17649953642687646,0.02544225307945865,3,765
Ventral Visual,lowrank,28,layer_28,single_feature_listing,0.16565974912965412,0.1775547694870693,0.026977985092077123,3,765
Ventral Visual,lowrank,28,layer_28,single_pairwise,0.04448015360169985,0.09991132382671147,0.0010957493077848508,3,765
Ventral Visual,lowrank,28,layer_28,single_triplet,0.08673240609413639,0.08704125269189145,0.005071094930226246,3,765
Ventral Visual,lowrank,29,layer_29,all_single_formats,0.16529897059640303,0.18034659026488398,0.025836001798494324,3,765
Ventral Visual,lowrank,29,layer_29,mean_rdm,0.1300538049008985,0.13324124413251875,0.015589076213379164,3,765
Ventral Visual,lowrank,29,layer_29,mean_repr,0.1439098365958933,0.14969200106965355,0.019616914529149265,3,765
Ventral Visual,lowrank,29,layer_29,mean_repr_plus_single_formats,0.16431919555599847,0.1793846793840361,0.02534418063242579,3,765
Ventral Visual,lowrank,29,layer_29,single_feature_listing,0.1669074168499373,0.18260930242988796,0.02762789654256792,3,765
Ventral Visual,lowrank,29,layer_29,single_pairwise,0.03998555720353584,0.08898389971274283,0.0010367252619103429,3,765
Ventral Visual,lowrank,29,layer_29,single_triplet,0.06711542842234712,0.062066441639150254,0.0019217171828224873,3,765
Ventral Visual,lowrank,30,layer_30,all_single_formats,0.16449824692218884,0.17410962197682375,0.025912635278711238,3,765
Ventral Visual,lowrank,30,layer_30,mean_rdm,0.13220880017579895,0.1376065242076125,0.016539912327251938,3,765
Ventral Visual,lowrank,30,layer_30,mean_repr,0.1472076236465991,0.15219402721969863,0.02083299352106327,3,765
Ventral Visual,lowrank,30,layer_30,mean_repr_plus_single_formats,0.1649351365566769,0.17453601811727928,0.025915484111480296,3,765
Ventral Visual,lowrank,30,layer_30,single_feature_listing,0.1655883305323302,0.17220194508617404,0.027138480804573078,3,765
Ventral Visual,lowrank,30,layer_30,single_pairwise,0.03705467508226021,0.07854996185360989,0.0009846429654583415,3,765
Ventral Visual,lowrank,30,layer_30,single_triplet,0.0698742992976098,0.06471068918228418,0.0032131507455109842,3,765
Ventral Visual,lowrank,31,layer_31,all_single_formats,0.1628765964390398,0.1717648095240265,0.025123011773475017,3,765
Ventral Visual,lowrank,31,layer_31,mean_rdm,0.13299150657497558,0.1410760632496543,0.016651424904593554,3,765
Ventral Visual,lowrank,31,layer_31,mean_repr,0.14202099324352704,0.15131238502810251,0.019226367151786754,3,765
Ventral Visual,lowrank,31,layer_31,mean_repr_plus_single_formats,0.16232199599262534,0.1713032734954557,0.024578235084182776,3,765
Ventral Visual,lowrank,31,layer_31,single_feature_listing,0.16328458042973734,0.16930963655813505,0.025913682097946682,3,765
Ventral Visual,lowrank,31,layer_31,single_pairwise,0.036726584241558634,0.07635689510631714,0.0010748436448479632,3,765
Ventral Visual,lowrank,31,layer_31,single_triplet,0.06608741043753256,0.07185363758597456,0.003101406760408413,3,765
Ventral Visual,lowrank,32,layer_32,all_single_formats,0.16673345266260098,0.17019248492438044,0.02678137365348099,3,765
Ventral Visual,lowrank,32,layer_32,mean_rdm,0.1306364619130706,0.13658231217247332,0.01588460112863403,3,765
Ventral Visual,lowrank,32,layer_32,mean_repr,0.12802658436067013,0.13556602515151117,0.014449230286158484,3,765
Ventral Visual,lowrank,32,layer_32,mean_repr_plus_single_formats,0.16459885140598465,0.167055099576865,0.02560386281525891,3,765
Ventral Visual,lowrank,32,layer_32,single_feature_listing,0.16888679631998374,0.17206967686759841,0.02824813454222815,3,765
Ventral Visual,lowrank,32,layer_32,single_pairwise,0.03270287827642416,0.06857075183724969,0.0008682286590832403,3,765
Ventral Visual,lowrank,32,layer_32,single_triplet,0.07219520602795847,0.07196959117559053,0.004249690791341705,3,765
Ventral Visual,scrambled,0,embedding,all_single_formats,0.030176719711223588,0.036207847190683366,0.0,3,765
Ventral Visual,scrambled,0,embedding,mean_rdm,0.030176719711223588,0.036207847190683366,0.0,3,765
Ventral Visual,scrambled,0,embedding,mean_repr,0.030176719711223588,0.036207847190683366,0.0,3,765
Ventral Visual,scrambled,0,embedding,mean_repr_plus_single_formats,0.030176719711223588,0.036207847190683366,0.0,3,765
Ventral Visual,scrambled,0,embedding,single_feature_listing,0.030176719711223588,0.036207847190683366,0.0,3,765
Ventral Visual,scrambled,0,embedding,single_pairwise,0.030176719711223588,0.036207847190683366,0.0,3,765
Ventral Visual,scrambled,0,embedding,single_triplet,0.030176719711223588,0.036207847190683366,0.0,3,765
Ventral Visual,scrambled,1,layer_1,all_single_formats,0.061338436262538064,0.08650115448783187,0.0015512315298783126,3,765
Ventral Visual,scrambled,1,layer_1,mean_rdm,0.0675093897913087,0.0823512793358427,0.002857950145656707,3,765
Ventral Visual,scrambled,1,layer_1,mean_repr,0.052681983130065634,0.06782278060067319,0.0017543851518317943,3,765
Ventral Visual,scrambled,1,layer_1,mean_repr_plus_single_formats,0.04384792308175515,0.06905658111671938,-0.00044668220475729825,3,765
Ventral Visual,scrambled,1,layer_1,single_feature_listing,0.04740239018067013,0.06280709541618788,0.0018602308293970877,3,765
Ventral Visual,scrambled,1,layer_1,single_pairwise,0.0626822654546543,0.0822195025217538,0.0021214011353258475,3,765
Ventral Visual,scrambled,1,layer_1,single_triplet,0.05501037097469619,0.07299614408301197,0.0019012939596084744,3,765
Ventral Visual,scrambled,2,layer_2,all_single_formats,0.05974762715329668,0.08145832590642461,0.0010944605435881567,3,765
Ventral Visual,scrambled,2,layer_2,mean_rdm,0.06726218907410282,0.08561387454657886,0.002721395151165873,3,765
Ventral Visual,scrambled,2,layer_2,mean_repr,0.06011383585432631,0.07974757713017815,0.0022407702948768296,3,765
Ventral Visual,scrambled,2,layer_2,mean_repr_plus_single_formats,0.04870410240958863,0.0683958475784793,-0.0006858355256252521,3,765
Ventral Visual,scrambled,2,layer_2,single_feature_listing,0.048379837996344356,0.07263701674947726,0.001958165724219881,3,765
Ventral Visual,scrambled,2,layer_2,single_pairwise,0.06254656792026338,0.0776314732601355,0.0018130656828266867,3,765
Ventral Visual,scrambled,2,layer_2,single_triplet,0.054976338351475335,0.07802095152169652,0.0019010636900011295,3,765
Ventral Visual,scrambled,3,layer_3,all_single_formats,0.0663007863609012,0.08336144613728824,0.001804327096302775,3,765
Ventral Visual,scrambled,3,layer_3,mean_rdm,0.07235597875473522,0.08696539770839325,0.0033761834862614526,3,765
Ventral Visual,scrambled,3,layer_3,mean_repr,0.06545921684983684,0.0781005322446669,0.002687737659408588,3,765
Ventral Visual,scrambled,3,layer_3,mean_repr_plus_single_formats,0.059935476263457306,0.06935804436739222,0.00037342150191862117,3,765
Ventral Visual,scrambled,3,layer_3,single_feature_listing,0.060931357382768704,0.08341725181772752,0.0025570524931754677,3,765
Ventral Visual,scrambled,3,layer_3,single_pairwise,0.06742100201634099,0.08120671787458804,0.0023267185418369327,3,765
Ventral Visual,scrambled,3,layer_3,single_triplet,0.0610197934108242,0.07898690978858974,0.0024530672901366866,3,765
Ventral Visual,scrambled,4,layer_4,all_single_formats,0.06916968614160003,0.08713818446055716,0.0009421643183415244,3,765
Ventral Visual,scrambled,4,layer_4,mean_rdm,0.0789302763825084,0.08487498982569347,0.004153050459201113,3,765
Ventral Visual,scrambled,4,layer_4,mean_repr,0.07157401205349052,0.07570028043113863,0.003365861103370634,3,765
Ventral Visual,scrambled,4,layer_4,mean_repr_plus_single_formats,0.06584326398999764,0.08199381384293587,-6.691905522911619e-05,3,765
Ventral Visual,scrambled,4,layer_4,single_feature_listing,0.06494560329537537,0.07492651492632194,0.003361573438245354,3,765
Ventral Visual,scrambled,4,layer_4,single_pairwise,0.07128322874595126,0.08326907102840862,0.0020876701703212244,3,765
Ventral Visual,scrambled,4,layer_4,single_triplet,0.07169632939696959,0.08024257333698225,0.0036606885658529986,3,765
Ventral Visual,scrambled,5,layer_5,all_single_formats,0.06712325576042753,0.08347454064625409,0.000914666969583755,3,765
Ventral Visual,scrambled,5,layer_5,mean_rdm,0.07680649468929703,0.08499918114143257,0.003943615248858889,3,765
Ventral Visual,scrambled,5,layer_5,mean_repr,0.07016619159907632,0.0729539815780499,0.003364571074946402,3,765
Ventral Visual,scrambled,5,layer_5,mean_repr_plus_single_formats,0.061559147457219555,0.0768708595263093,-0.00024409237047199697,3,765
Ventral Visual,scrambled,5,layer_5,single_feature_listing,0.06773499402694395,0.07702036264042889,0.00363084697423773,3,765
Ventral Visual,scrambled,5,layer_5,single_pairwise,0.07040527996920207,0.08301350495679706,0.0022377446829649297,3,765
Ventral Visual,scrambled,5,layer_5,single_triplet,0.06605593149599448,0.0792576021837658,0.0030252902729582067,3,765
Ventral Visual,scrambled,6,layer_6,all_single_formats,0.06851076039118693,0.08620276474885791,0.0007522526518460859,3,765
Ventral Visual,scrambled,6,layer_6,mean_rdm,0.07393927432930882,0.07886999125925437,0.0035183124176549154,3,765
