arm,layer,layer_name,format_a,format_b,cross_format_rdm_spearman,linear_cka,retrieval_top1,retrieval_top5,retrieval_margin,concept_label_alignment,format_label_alignment,concept_minus_format_alignment
base,13,layer_13,__mean__,__mean__,0.4050406488262516,0.5068856577078501,0.014322916666666666,0.06510416666666667,-0.008809603750705719,0.0024653130676597357,0.9694334864616394,-0.9669681733939797
base,14,layer_14,triplet,pairwise,0.35011172290407083,0.37882211804389954,0.01171875,0.0625,-0.01548512140288949,,,
base,14,layer_14,triplet,feature_listing,0.38197120614263125,0.5579469203948975,0.01953125,0.0703125,-0.014035453088581562,,,
base,14,layer_14,pairwise,feature_listing,0.36737772988294587,0.39173179864883423,0.015625,0.07421875,-0.008155713090673089,,,
base,14,layer_14,__mean__,__mean__,0.3664868863098827,0.44283361236254376,0.015625,0.06901041666666667,-0.012558762527381381,0.003605579026043415,0.97162264585495,-0.9680170668289065
base,15,layer_15,triplet,pairwise,0.3015063173045417,0.2983180284500122,0.0078125,0.0703125,-0.017769149504601955,,,
base,15,layer_15,triplet,feature_listing,0.32075714739412714,0.46429213881492615,0.015625,0.0859375,-0.014142222702503204,,,
base,15,layer_15,pairwise,feature_listing,0.32000462202038876,0.3162257671356201,0.0234375,0.0703125,-0.008766114478930831,,,
base,15,layer_15,__mean__,__mean__,0.31408936223968587,0.35961197813351947,0.015625,0.07552083333333333,-0.013559162228678664,0.003726170863956213,0.9790733456611633,-0.9753471747972071
base,16,layer_16,triplet,pairwise,0.300212861260426,0.302369624376297,0.015625,0.07421875,-0.02094817254692316,,,
base,16,layer_16,triplet,feature_listing,0.3962671918911749,0.5224433541297913,0.03515625,0.15234375,-0.015061775222420692,,,
base,16,layer_16,pairwise,feature_listing,0.3050879052702414,0.2994483709335327,0.01171875,0.0546875,-0.01335797505453229,,,
base,16,layer_16,__mean__,__mean__,0.33385598614061407,0.37475378314654034,0.020833333333333332,0.09375,-0.01645597427462538,0.005755174905061722,0.9809263348579407,-0.975171159952879
base,17,layer_17,triplet,pairwise,0.26990004545126,0.2730630338191986,0.0078125,0.05859375,-0.026069991290569305,,,
base,17,layer_17,triplet,feature_listing,0.33017164203974714,0.5062515735626221,0.05078125,0.171875,-0.012875263579189777,,,
base,17,layer_17,pairwise,feature_listing,0.24903148672725306,0.26664191484451294,0.015625,0.0546875,-0.011375512462109327,,,
base,17,layer_17,__mean__,__mean__,0.2830343914060867,0.3486521740754445,0.024739583333333332,0.09505208333333333,-0.016773589110622805,0.00583637272939086,0.9836241006851196,-0.9777877279557288
base,18,layer_18,triplet,pairwise,0.15072000252300766,0.17761267721652985,0.01953125,0.0625,-0.031808330211788416,,,
base,18,layer_18,triplet,feature_listing,0.2716838935098768,0.4512910842895508,0.0703125,0.203125,-0.014323684386909008,,,
base,18,layer_18,pairwise,feature_listing,0.21082588592129736,0.20920634269714355,0.01171875,0.06640625,-0.012225807644426823,,,
